ID,Target,Question,Choices,Human answer,Correct Answer,Context utterance,Prompt,choices_prob,sentences_prob,choice_win,Generated Text
78,I just saw a red van pulling into the driveway .,Whose van is it?,"['Your wife', ""I don't know"", ""It's the president's van"", ""It's the Scooby-Doo's Mystery Machine""]",,[1],The license plate is your wife's,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I just saw a red van pulling into the driveway .
Question: Whose van is it?
Choices:

1. Your wife
2. I don't know
3. It's the president's van
4. It's the Scooby-Doo's Mystery Machine
 The correct answer is:","[('Your wife', 0.21020856499671936), (""I don't know"", 0.4180496633052826), (""It's the president's van"", 0.1974726766347885), (""It's the Scooby-Doo's Mystery Machine"", 0.17426902055740356)]","[('Your wife', 0.0002730105188675225), (""I don't know"", 0.5861818194389343), (""It's the president's van"", 0.24820499122142792), (""It's the Scooby-Doo's Mystery Machine"", 0.16534017026424408)]",I don't know,I don't know
79,"As you know , I am a sports fan .",Which sports?,"[""I don't know"", 'Water sports', 'Table games', 'Quidditch']",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: As you know , I am a sports fan .
Question: Which sports?
Choices:

1. I don't know
2. Water sports
3. Table games
4. Quidditch
 The correct answer is:","[(""I don't know"", 0.26287660002708435), ('Water sports', 0.3170897364616394), ('Table games', 0.10294396430253983), ('Quidditch', 0.3170897364616394)]","[(""I don't know"", 0.9590672254562378), ('Water sports', 0.0011953763896599412), ('Table games', 0.0001519750658189878), ('Quidditch', 0.039585430175065994)]",Water sports,I don't know
80,"As you know , I am a sports fan .",Which sports?,"[""I don't know"", 'Water sports', 'Table games', 'Quidditch']",,[1],And these papers are famous for their water sports section .,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: As you know , I am a sports fan .
Question: Which sports?
Choices:

1. I don't know
2. Water sports
3. Table games
4. Quidditch
 The correct answer is:","[(""I don't know"", 0.26287660002708435), ('Water sports', 0.3170897364616394), ('Table games', 0.10294396430253983), ('Quidditch', 0.3170897364616394)]","[(""I don't know"", 0.9590672254562378), ('Water sports', 0.0011953763896599412), ('Table games', 0.0001519750658189878), ('Quidditch', 0.039585430175065994)]",Water sports,I don't know
81,"As you know , I am a sports fan .",Which sports?,"['Water sports', ""I don't know"", 'Table games', 'Quidditch']",,[1],I particularly like water sports,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: As you know , I am a sports fan .
Question: Which sports?
Choices:

1. Water sports
2. I don't know
3. Table games
4. Quidditch
 The correct answer is:","[('Water sports', 0.14696279168128967), (""I don't know"", 0.3994862735271454), ('Table games', 0.054064586758613586), ('Quidditch', 0.3994862735271454)]","[('Water sports', 0.0011953763896599412), (""I don't know"", 0.9590672254562378), ('Table games', 0.0001519750658189878), ('Quidditch', 0.039585430175065994)]",I don't know,I don't know
82,Oh ! I just drop in on him for a chat .,What is the topic of the conversation?,"[""I don't know"", 'The academic career', 'Unicorns', 'The reproduction of ants']",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Oh ! I just drop in on him for a chat .
Question: What is the topic of the conversation?
Choices:

1. I don't know
2. The academic career
3. Unicorns
4. The reproduction of ants
 The correct answer is:","[(""I don't know"", 0.19747212529182434), ('The academic career', 0.5042627453804016), ('Unicorns', 0.15379145741462708), ('The reproduction of ants', 0.14447370171546936)]","[(""I don't know"", 0.980946958065033), ('The academic career', 0.0009521986357867718), ('Unicorns', 0.016878124326467514), ('The reproduction of ants', 0.0012226472608745098)]",The academic career,I don't know
83,Oh ! I just drop in on him for a chat .,What is the topic of the conversation?,"[""I don't know"", 'The academic career', 'Unicorns', 'The reproduction of ants']",,[1],I hope he doesn't ask me about my academic career,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Oh ! I just drop in on him for a chat .
Question: What is the topic of the conversation?
Choices:

1. I don't know
2. The academic career
3. Unicorns
4. The reproduction of ants
 The correct answer is:","[(""I don't know"", 0.19747212529182434), ('The academic career', 0.5042627453804016), ('Unicorns', 0.15379145741462708), ('The reproduction of ants', 0.14447370171546936)]","[(""I don't know"", 0.980946958065033), ('The academic career', 0.0009521986357867718), ('Unicorns', 0.016878124326467514), ('The reproduction of ants', 0.0012226472608745098)]",The academic career,I don't know
84,Oh ! I just drop in on him for a chat .,What is the topic of the conversation?,"['The academic career', ""I don't know"", 'Unicorns', 'The reproduction of ants']",,[1],I want to ask him for advice on my academic career,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Oh ! I just drop in on him for a chat .
Question: What is the topic of the conversation?
Choices:

1. The academic career
2. I don't know
3. Unicorns
4. The reproduction of ants
 The correct answer is:","[('The academic career', 0.2009907364845276), (""I don't know"", 0.5463494658470154), ('Unicorns', 0.1145210713148117), ('The reproduction of ants', 0.1381387710571289)]","[('The academic career', 0.0009521986357867718), (""I don't know"", 0.980946958065033), ('Unicorns', 0.016878124326467514), ('The reproduction of ants', 0.0012226472608745098)]",I don't know,I don't know
85,Why don't we go to a park ?,Which park?,"['Any', ""St James' Park"", 'A Luna Park', 'A water park']",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Why don't we go to a park ?
Question: Which park?
Choices:

1. Any
2. St James' Park
3. A Luna Park
4. A water park
 The correct answer is:","[('Any', 0.1292499601840973), (""St James' Park"", 0.5111935138702393), ('A Luna Park', 0.21309715509414673), ('A water park', 0.1464594006538391)]","[('Any', 0.0028409326914697886), (""St James' Park"", 0.6951532959938049), ('A Luna Park', 0.0030241571366786957), ('A water park', 0.2989817261695862)]",St James' Park,St James' Park
86,Why don't we go to a park ?,Which park?,"['Any', ""St James' Park"", 'A Luna Park', 'A water park']",,[1],"The St James' Park is around the corner here, but we could also go to Hide Park which is 10 minutes away","Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Why don't we go to a park ?
Question: Which park?
Choices:

1. Any
2. St James' Park
3. A Luna Park
4. A water park
 The correct answer is:","[('Any', 0.1292499601840973), (""St James' Park"", 0.5111935138702393), ('A Luna Park', 0.21309715509414673), ('A water park', 0.1464594006538391)]","[('Any', 0.0028409326914697886), (""St James' Park"", 0.6951532959938049), ('A Luna Park', 0.0030241571366786957), ('A water park', 0.2989817261695862)]",St James' Park,St James' Park
87,Why don't we go to a park ?,Which park?,"[""St James' Park"", 'Any', 'A Luna Park', 'A water park']",,[1],The St James' Park is around the corner here.,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Why don't we go to a park ?
Question: Which park?
Choices:

1. St James' Park
2. Any
3. A Luna Park
4. A water park
 The correct answer is:","[(""St James' Park"", 0.16744926571846008), ('Any', 0.3128364086151123), ('A Luna Park', 0.24363723397254944), ('A water park', 0.27607715129852295)]","[(""St James' Park"", 0.6951532959938049), ('Any', 0.0028409326914697886), ('A Luna Park', 0.0030241571366786957), ('A water park', 0.2989817261695862)]",Any,St James' Park
88,"Hey , Sandy , what's new ? Interested in a movie tonight ?",Which movie?,"['Any', 'Oppenheimer', ""My parents' wedding film"", 'The video of my knee operation']",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Hey , Sandy , what's new ? Interested in a movie tonight ?
Question: Which movie?
Choices:

1. Any
2. Oppenheimer
3. My parents' wedding film
4. The video of my knee operation
 The correct answer is:","[('Any', 0.15444855391979218), ('Oppenheimer', 0.419834703207016), (""My parents' wedding film"", 0.3480551838874817), ('The video of my knee operation', 0.07766161113977432)]","[('Any', 0.00016975257312878966), ('Oppenheimer', 0.7362624406814575), (""My parents' wedding film"", 0.2245473712682724), ('The video of my knee operation', 0.03902047872543335)]",Oppenheimer,Oppenheimer
89,"Hey , Sandy , what's new ? Interested in a movie tonight ?",Which movie?,"['Any', 'Oppenheimer', ""My parents' wedding film"", 'The video of my knee operation']",,[1],I haven't seen Oppenheimer yet but they don't show it in theaters anymore,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Hey , Sandy , what's new ? Interested in a movie tonight ?
Question: Which movie?
Choices:

1. Any
2. Oppenheimer
3. My parents' wedding film
4. The video of my knee operation
 The correct answer is:","[('Any', 0.15444855391979218), ('Oppenheimer', 0.419834703207016), (""My parents' wedding film"", 0.3480551838874817), ('The video of my knee operation', 0.07766161113977432)]","[('Any', 0.00016975257312878966), ('Oppenheimer', 0.7362624406814575), (""My parents' wedding film"", 0.2245473712682724), ('The video of my knee operation', 0.03902047872543335)]",Oppenheimer,Oppenheimer
90,"Hey , Sandy , what's new ? Interested in a movie tonight ?",Which movie?,"['Oppenheimer', 'Any', ""My parents' wedding film"", 'The video of my knee operation']",,[1],I haven't seen Oppenheimer yet and it's still in theaters,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Hey , Sandy , what's new ? Interested in a movie tonight ?
Question: Which movie?
Choices:

1. Oppenheimer
2. Any
3. My parents' wedding film
4. The video of my knee operation
 The correct answer is:","[('Oppenheimer', 0.19377388060092926), ('Any', 0.38536536693573), (""My parents' wedding film"", 0.3400837481021881), ('The video of my knee operation', 0.08077696710824966)]","[('Oppenheimer', 0.7362624406814575), ('Any', 0.00016975257312878966), (""My parents' wedding film"", 0.2245473712682724), ('The video of my knee operation', 0.03902047872543335)]",Any,Oppenheimer
91,I would like to spend a month in America,Which month?,"['Any', 'September', 'From september to october', 'December, January and February']",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I would like to spend a month in America
Question: Which month?
Choices:

1. Any
2. September
3. From september to october
4. December, January and February
 The correct answer is:","[('Any', 0.15606734156608582), ('September', 0.2915721833705902), ('From september to october', 0.45159581303596497), ('December, January and February', 0.10076464712619781)]","[('Any', 1.1389265637262724e-05), ('September', 0.00022875952709000558), ('From september to october', 0.5310817956924438), ('December, January and February', 0.4686780273914337)]",From september to october,From september to october
92,I would like to spend a month in America,Which month?,"['Any', 'September', 'From september to october', 'December, January and February']",,[1],I'm still thinking when is the best time to visit New York. Many recommend going in September.,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I would like to spend a month in America
Question: Which month?
Choices:

1. Any
2. September
3. From september to october
4. December, January and February
 The correct answer is:","[('Any', 0.15606734156608582), ('September', 0.2915721833705902), ('From september to october', 0.45159581303596497), ('December, January and February', 0.10076464712619781)]","[('Any', 1.1389265637262724e-05), ('September', 0.00022875952709000558), ('From september to october', 0.5310817956924438), ('December, January and February', 0.4686780273914337)]",From september to october,From september to october
93,I would like to spend a month in America,Which month?,"['September', 'Any', 'From september to october', 'December, January and February']",,[1],I was thinking of leaving in September because the weather is less hot,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I would like to spend a month in America
Question: Which month?
Choices:

1. September
2. Any
3. From september to october
4. December, January and February
 The correct answer is:","[('September', 0.124256931245327), ('Any', 0.3173011839389801), ('From september to october', 0.46167048811912537), ('December, January and February', 0.09677138924598694)]","[('September', 0.00022875952709000558), ('Any', 1.1389265637262724e-05), ('From september to october', 0.5310817956924438), ('December, January and February', 0.4686780273914337)]",From september to october,From september to october
